"","Job.Type","Salary.Estimate","Salary.Mean","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"136","Machine Learning Engineer","90-109 ",99.5,3.2,"Triplebyte","Remote","San Francisco, CA","51 to 200","2015","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"137","Data Engineer","90-109 ",99.5,4.9,"Lendio","Lehi, UT","Lehi, UT","201 to 500","2011","Company - Private","Lending","Finance","50 to 100 million","Unknown"
"138","Data Scientist","90-109 ",99.5,4.2,"Upstart","San Mateo, CA","San Mateo, CA","201 to 500","2012","Company - Private","Lending","Finance","Unknown / Non-Applicable","Unknown"
"139","Data Analyst","90-109 ",99.5,4.5,"Envision LLC","San Francisco, CA","Saint Louis, MO","201 to 500","1994","Company - Private","Staffing & Outsourcing","Business Services","25 to 50 million","Unknown"
"140","Data Engineer","90-109 ",99.5,4.8,"AppLovin","Palo Alto, CA","Palo Alto, CA","201 to 500","2012","Company - Private","Video Games","Media","Unknown / Non-Applicable","Unknown"
"141","Other","90-109 ",99.5,3.8,"ISO New England","Holyoke, MA","Holyoke, MA","501 to 1000","1997","Nonprofit Organization","Utilities","Oil, Gas, Energy & Utilities","Unknown / Non-Applicable","Unknown"
"142","Data Engineer","90-109 ",99.5,3.7,"Relativity","Chicago, IL","Chicago, IL","1001 to 5000","2001","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"143","Data Scientist","90-109 ",99.5,3.3,"Tempo Automation","San Francisco, CA","San Francisco, CA","51 to 200","2013","Company - Private","Electrical & Electronic Manufacturing","Manufacturing","5 to 10 million","Unknown"
"144","Data Scientist","90-109 ",99.5,3.3,"MITRE","McLean, VA","Bedford, MA","5001 to 10000","1958","Nonprofit Organization","Federal Agencies","Government","1 to 2 billion","Battelle, General Atomics, SAIC"
"145","Machine Learning Engineer","90-109 ",99.5,5,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA","1 to 50","2013","Company - Private","Aerospace & Defense","Aerospace & Defense","10 to 25 million","Unknown"
"146","Other","90-109 ",99.5,3.8,"Evidera","Bethesda, MD","Bethesda, MD","501 to 1000","2013","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","IQVIA, ICON"
"147","Data Scientist","90-109 ",99.5,3.4,"Plymouth Rock Assurance","Woodbridge, NJ","Boston, MA","1001 to 5000","1982","Company - Private","Insurance Carriers","Insurance","10 to 25 million","Arbella Insurance, Safety Insurance"
"148","Other","90-109 ",99.5,2.4,"Crown Bioscience","San Diego, CA","San Diego, CA","501 to 1000","2006","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","50 to 100 million","Unknown"
"149","Data Scientist","90-109 ",99.5,2.9,"GNS Healthcare","Cambridge, MA","Cambridge, MA","51 to 200","2000","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 to 25 million","Unknown"
"150","Other","90-109 ",99.5,4.4,"OneMagnify","Dearborn, MI","Detroit, MI","201 to 500","1967","Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Unknown"
"151","Data Scientist","90-109 ",99.5,2.9,"SPECTRUM","Maryland Heights, MO","Stamford, CT","10000+","2016","Subsidiary or Business Segment","Cable, Internet & Telephone Providers","Telecommunications","10+ billion","Unknown"
"152","Other","90-109 ",99.5,2.7,"Advanced BioScience Laboratories","Rockville, MD","Rockville, MD","201 to 500","1961","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","50 to 100 million","Unknown"
"153","Data Engineer","90-109 ",99.5,4.2,"Procore Technologies","Carpinteria, CA","Carpinteria, CA","1001 to 5000","2002","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"154","Other","90-109 ",99.5,3.5,"Ritedose","Columbia, SC","Columbia, SC","201 to 500","1995","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Unknown"
"155","Data Scientist","90-109 ",99.5,4.2,"bioMérieux","Saint Louis, MO","Marcy-l'Etoile, France","10000+","1963","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","2 to 5 billion","Unknown"
"156","Data Scientist","101-165 ",133,4.5,"Novetta","Herndon, VA","Mc Lean, VA","501 to 1000","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million","Leidos, CACI International, Booz Allen Hamilton"
"157","Data Scientist","101-165 ",133,4.4,"Guzman & Griffin Technologies (GGTI)","Washington, DC","Mays Landing, NJ","1 to 50","1997","Company - Private","Federal Agencies","Government","Unknown / Non-Applicable","Unknown"
"158","Data Scientist","101-165 ",133,3.5,"Leidos","Fort Meade, MD","Reston, VA","10000+","1969","Company - Public","Aerospace & Defense","Aerospace & Defense","10+ billion","Unknown"
"159","Data Scientist","101-165 ",133,4.5,"Demandbase","San Francisco, CA","San Francisco, CA","201 to 500","2006","Company - Private","Computer Hardware & Software","Information Technology","100 to 500 million","Engagio, Bombora, Terminus"
"160","Data Analyst","101-165 ",133,4.1,"Shelter Insurance","Columbia, MO","Columbia, MO","1001 to 5000","1946","Company - Private","Insurance Carriers","Insurance","1 to 2 billion","Unknown"
"161","Data Scientist","101-165 ",133,3.5,"Maxar Technologies","Chantilly, VA","Westminster, CO","5001 to 10000","Unknown","Company - Public","Aerospace & Defense","Aerospace & Defense","2 to 5 billion","Unknown"
"162","Data Analyst","101-165 ",133,2.7,"USAC","Washington, DC","Washington, DC","501 to 1000","1997","Nonprofit Organization","Telecommunications Services","Telecommunications","25 to 50 million","Unknown"
"163","Other","101-165 ",133,3.4,"General Dynamics Information Technology","Vicksburg, MS","Fairfax, VA","10000+","1996","Subsidiary or Business Segment","IT Services","Information Technology","10+ billion","SAIC, Leidos, Northrop Grumman"
"164","Data Scientist","101-165 ",133,4.4,"Offerpad","Chandler, AZ","Chandler, AZ","201 to 500","2015","Company - Private","Real Estate","Real Estate","Unknown / Non-Applicable","Unknown"
"165","Data Analyst","101-165 ",133,4,"Autodesk","San Francisco, CA","San Rafael, CA","5001 to 10000","1982","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion","Unknown"
"166","Data Analyst","101-165 ",133,4.2,"Autodesk","San Francisco, CA","Herndon, VA","5001 to 10000","1968","Company - Public","Research & Development","Business Services","1 to 2 billion","Unknown"
"167","Data Engineer","101-165 ",133,3.5,"Magna International Inc.","Birmingham, AL","Aurora, Canada","10000+","1957","Company - Public","Unknown","Unknown","10+ billion","Bosch, Lear Corporation, Faurecia"
"168","Data Analyst","101-165 ",133,2.3,"United BioSource","Blue Bell, PA","Blue Bell, PA","1001 to 5000","2003","Other Organization","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Covance, ICON"
"169","Data Scientist","101-165 ",133,3.4,"Kelly","Chicago, IL","Troy, MI","5001 to 10000","1946","Company - Public","Staffing & Outsourcing","Business Services","5 to 10 billion","Adecco, ManpowerGroup, Allegis Corporation"
"170","Machine Learning Engineer","101-165 ",133,3.3,"Tempus Labs","Redwood City, CA","Chicago, IL","501 to 1000","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"171","Data Scientist","101-165 ",133,4.7,"C3.ai","Redwood City, CA","Redwood City, CA","201 to 500","2009","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million","GE Digital, Palantir Technologies, Uptake"
"172","Data Scientist","101-165 ",133,3.9,"Quartet Health","New York, NY","New York, NY","201 to 500","2014","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"173","Data Analyst","101-165 ",133,3.3,"Midland Credit Management","San Diego, CA","San Diego, CA","1001 to 5000","1953","Subsidiary or Business Segment","Banks & Credit Unions","Finance","1 to 2 billion","PRA Group"
"174","Machine Learning Engineer","101-165 ",133,3.3,"Tempus Labs","Chicago, IL","Chicago, IL","501 to 1000","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"175","Data Engineer","101-165 ",133,4.4,"Resurgent Capital Services","Cincinnati, OH","Greenville, SC","201 to 500","1998","Company - Private","Venture Capital & Private Equity","Finance","50 to 100 million","Unknown"
"176","Data Scientist","56-97 ",76.5,3.7,"PNNL","Richland, WA","Richland, WA","1001 to 5000","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
"177","Data Scientist","56-97 ",76.5,3.5,"Buckman","Memphis, TN","Memphis, TN","1001 to 5000","1945","Company - Private","Chemical Manufacturing","Manufacturing","500 million to 1 billion","Unknown"
"178","Machine Learning Engineer","56-97 ",76.5,3.6,"Buckman","Memphis, TN","Arlington, VA","501 to 1000","1967","Nonprofit Organization","Federal Agencies","Government","50 to 100 million","Unknown"
"179","Other","56-97 ",76.5,3.8,"Evidera","Bethesda, MD","Bethesda, MD","501 to 1000","2013","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","IQVIA, ICON"
"180","Data Analyst","56-97 ",76.5,4.7,"webfx.com","Harrisburg, PA","Harrisburg, PA","201 to 500","1997","Company - Private","Advertising & Marketing","Business Services","25 to 50 million","Unknown"
"181","Data Scientist","56-97 ",76.5,3.5,"Argo Group US","New York, NY","Hamilton, Bermuda","1001 to 5000","1948","Company - Public","Insurance Carriers","Insurance","1 to 2 billion","Unknown"
"182","Data Scientist","56-97 ",76.5,3.3,"BWX Technologies","Oak Ridge, TN","Lynchburg, VA","5001 to 10000","1850","Company - Public","Aerospace & Defense","Aerospace & Defense","500 million to 1 billion","Unknown"
"183","Data Analyst","56-97 ",76.5,3.9,"Life360","San Francisco, CA","San Francisco, CA","51 to 200","2008","Company - Public","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"184","Data Scientist","56-97 ",76.5,3.7,"MassMutual","Boston, MA","Springfield, MA","5001 to 10000","1851","Company - Private","Insurance Carriers","Insurance","10+ billion","Unknown"
"185","Other","56-97 ",76.5,3.9,"Natera","San Carlos, CA","San Carlos, CA","501 to 1000","2004","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Genomic Health, 23andMe, Illumina"
"186","Other","56-97 ",76.5,4,"Genentech","South San Francisco, CA","South San Francisco, CA","10000+","1976","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Unknown"
"187","Other","56-97 ",76.5,4.2,"Ntrepid","Herndon, VA","Herndon, VA","201 to 500","2010","Company - Private","IT Services","Information Technology","50 to 100 million","Bromium, FireEye, Authentic8"
"188","Data Scientist","56-97 ",76.5,3.6,"Constant Contact","Waltham, MA","Waltham, MA","Unknown","1995","Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Drip, iContact, Mailchimp"
"189","Machine Learning Engineer","56-97 ",76.5,4.7,"Sage Intacct","San Francisco, CA","San Jose, CA","501 to 1000","1999","Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"190","Data Engineer","56-97 ",76.5,4.1,"Shape Security","Santa Clara, CA","Mountain View, CA","51 to 200","2011","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"191","Data Scientist","56-97 ",76.5,4,"AstraZeneca","Gaithersburg, MD","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"192","Data Scientist","56-97 ",76.5,5,"SkillSoniq","San Francisco, CA","Jersey City, NJ","Unknown","Unknown","Company - Public","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"193","Data Scientist","56-97 ",76.5,4,"AstraZeneca","New York, NY","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"194","Data Scientist","56-97 ",76.5,4.3,"Joby Aviation","San Carlos, CA","Santa Cruz, CA","51 to 200","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"195","Data Analyst","56-97 ",76.5,3.8,"Cook Children's Health Care System","Fort Worth, TX","Fort Worth, TX","5001 to 10000","1918","Nonprofit Organization","Health Care Services & Hospitals","Health Care","100 to 500 million","Children's Health, Texas Health Resources, Baylor Scott & White Health"
"196","Other","56-97 ",76.5,3.8,"Rubius Therapeutics","Smithfield, RI","Cambridge, MA","201 to 500","2013","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Unknown"
"197","Data Analyst","56-97 ",76.5,4.6,"GreatAmerica Financial Services","Cedar Rapids, IA","Cedar Rapids, IA","501 to 1000","1992","Company - Private","Lending","Finance","100 to 500 million","Unknown"
"198","Data Scientist","79-106 ",92.5,4.1,"Upside Business Travel","Remote","Washington, DC","51 to 200","2015","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"199","Data Scientist","79-106 ",92.5,3.4,"Spectrum Communications and Consulting","Chicago, IL","Chicago, IL","51 to 200","1992","Company - Private","Advertising & Marketing","Business Services","10 to 25 million","Unknown"
"200","Data Scientist","79-106 ",92.5,4.1,"Coverent","McLean, VA","McLean, VA","51 to 200","2008","Company - Private","Consulting","Business Services","10 to 25 million","Unknown"
"201","Machine Learning Engineer","79-106 ",92.5,3.7,"Mteq","Fort Belvoir, VA","Lorton, VA","501 to 1000","1954","Company - Public","Aerospace & Defense","Aerospace & Defense","100 to 500 million","Harris, Fibertek"
"202","Data Engineer","79-106 ",92.5,4.4,"Rocket Lawyer","San Francisco, CA","San Francisco, CA","51 to 200","2008","Company - Private","Computer Hardware & Software","Information Technology","50 to 100 million","Unknown"
"203","Data Scientist","79-106 ",92.5,3.9,"Novartis","Cambridge, MA","Basel, Switzerland","10000+","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Unknown"
"204","Data Engineer","79-106 ",92.5,3.6,"Alion Science & Technology","Linthicum Heights, MD","Mc Lean, VA","1001 to 5000","2001","Company - Private","Research & Development","Business Services","1 to 2 billion","Unknown"
"205","Other","79-106 ",92.5,4.5,"Novetta","Herndon, VA","Mc Lean, VA","501 to 1000","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million","Leidos, CACI International, Booz Allen Hamilton"
"206","Business Intelligence Analyst","79-106 ",92.5,3.7,"Protolabs","Maple Plain, MN","Maple Plain, MN","1001 to 5000","1999","Company - Public","Miscellaneous Manufacturing","Manufacturing","100 to 500 million","Unknown"
"207","Data Analyst","79-106 ",92.5,2.9,"Quest Integrity","Tulsa, OK","Kent, WA","201 to 500","1996","Company - Public","Oil & Gas Services","Oil, Gas, Energy & Utilities","50 to 100 million","Unknown"
"208","Data Scientist","79-106 ",92.5,5,"Phoenix Operations Group","Annapolis Junction, MD","Woodbine, MD","1 to 50","2011","Company - Private","IT Services","Information Technology","1 to 5 million","Unknown"
"209","Data Scientist","79-106 ",92.5,3.4,"Dice.com","Newton, MA","Denver, CO","201 to 500","1990","Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","100 to 500 million","Monster Worldwide, CareerBuilder, Craigslist"
"210","Data Scientist","79-106 ",92.5,3.5,"Maxar Technologies","Herndon, VA","Westminster, CO","5001 to 10000","Unknown","Company - Public","Aerospace & Defense","Aerospace & Defense","2 to 5 billion","Unknown"
"211","Data Scientist","79-106 ",92.5,5,"Phoenix Operations Group","Baltimore, MD","Woodbine, MD","1 to 50","2011","Company - Private","IT Services","Information Technology","1 to 5 million","Unknown"
"212","Other","79-106 ",92.5,4.8,"Klaviyo","Boston, MA","Boston, MA","201 to 500","2012","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"213","Other","79-106 ",92.5,3.9,"Southwest Research Institute","Oklahoma City, OK","San Antonio, TX","1001 to 5000","1947","Nonprofit Organization","Research & Development","Business Services","500 million to 1 billion","Los Alamos National Laboratory, Battelle, SRI International"
"214","Data Scientist","79-106 ",92.5,4,"AstraZeneca","Gaithersburg, MD","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"215","Data Analyst","79-106 ",92.5,4.3,"The Buffalo Group","Fort Belvoir, VA","Reston, VA","501 to 1000","2010","Company - Private","IT Services","Information Technology","100 to 500 million","ManTech, Booz Allen Hamilton, Leidos"
"216","Other","79-106 ",92.5,3.5,"Central California Alliance for Health","Scotts Valley, CA","Scotts Valley, CA","501 to 1000","1996","Nonprofit Organization","Health Care Services & Hospitals","Health Care","500 million to 1 billion","Unknown"
"217","Other","79-106 ",92.5,3.7,"MassMutual","Boston, MA","Springfield, MA","5001 to 10000","1851","Company - Private","Insurance Carriers","Insurance","10+ billion","Unknown"
"218","Machine Learning Engineer","79-106 ",92.5,3.3,"Tempus Labs","Redwood City, CA","Chicago, IL","501 to 1000","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"219","Data Analyst","79-106 ",92.5,3.1,"Security Finance Corporation of Spartanburg","Spartanburg, SC","Spartanburg, SC","1001 to 5000","1955","Company - Private","Lending","Finance","Unknown / Non-Applicable","Unknown"
"220","Data Scientist","71-123 ",97,4.3,"PulsePoint","New York, NY","New York, NY","51 to 200","2011","Company - Private","Internet","Information Technology","100 to 500 million","Crossix Solutions Inc., AppNexus, The Trade Desk"
"221","Data Scientist","71-123 ",97,4.2,"LSQ","Orlando, FL","Orlando, FL","51 to 200","1996","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million","Unknown"
"222","Data Engineer","71-123 ",97,4.4,"Resurgent Capital Services","Cincinnati, OH","Greenville, SC","201 to 500","1998","Company - Private","Venture Capital & Private Equity","Finance","50 to 100 million","Unknown"
"223","Data Scientist","71-123 ",97,3.6,"Opendoor","San Francisco, CA","San Francisco, CA","501 to 1000","2014","Company - Private","Real Estate","Real Estate","2 to 5 billion","Unknown"
"224","Data Scientist","71-123 ",97,4.5,"Global Data Management Inc","Hartford, CT","Woodbridge, NJ","51 to 200","2008","Company - Private","IT Services","Information Technology","5 to 10 million","Unknown"
"225","Data Scientist","71-123 ",97,3,"Photon Infotech","Chicago, IL","Chennai, India","1001 to 5000","1999","Company - Private","IT Services","Information Technology","100 to 500 million","Unknown"
"226","Data Scientist","71-123 ",97,5,"REE","United States","Tel Aviv-Yafo, Israel","51 to 200","2018","Company - Private","Transportation Equipment Manufacturing","Manufacturing","Unknown / Non-Applicable","Unknown"
"227","Machine Learning Engineer","71-123 ",97,3.6,"Riverside Research Institute","Beavercreek, OH","Arlington, VA","501 to 1000","1967","Nonprofit Organization","Federal Agencies","Government","50 to 100 million","Unknown"
"228","Other","71-123 ",97,3.6,"T. Rowe Price","Baltimore, MD","Baltimore, MD","5001 to 10000","1937","Company - Public","Investment Banking & Asset Management","Finance","2 to 5 billion","Unknown"
"229","Data Scientist","71-123 ",97,4.7,"Encode, Inc.","Norfolk, VA","Manalapan, NJ","1 to 50","Unknown","Company - Private","IT Services","Information Technology","5 to 10 million","Unknown"
"230","Other","71-123 ",97,3.8,"Evidera","Bethesda, MD","Bethesda, MD","501 to 1000","2013","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","IQVIA, ICON"
"231","Data Scientist","71-123 ",97,3.3,"BWX Technologies","Oak Ridge, TN","Lynchburg, VA","5001 to 10000","1850","Company - Public","Aerospace & Defense","Aerospace & Defense","500 million to 1 billion","Unknown"
"232","Data Analyst","71-123 ",97,3.8,"Brighthouse Financial","Charlotte, NC","Charlotte, NC","1001 to 5000","2017","Company - Public","Insurance Carriers","Insurance","Unknown / Non-Applicable","Unknown"
"233","Data Scientist","71-123 ",97,3.5,"Argo Group US","New York, NY","Hamilton, Bermuda","1001 to 5000","1948","Company - Public","Insurance Carriers","Insurance","1 to 2 billion","Unknown"
"234","Data Scientist","71-123 ",97,3.3,"II-VI Incorporated","Champaign, IL","Saxonburg, PA","10000+","1971","Company - Public","Telecommunications Manufacturing","Telecommunications","1 to 2 billion","Lumentum Operations, Keysight Technologies, O-Net Technologies"
"235","Data Scientist","71-123 ",97,4.6,"Surya Systems","San Francisco, CA","Bristol, PA","1 to 50","Unknown","Company - Private","Computer Hardware & Software","Information Technology","Less than 1 million","Unknown"
"236","Data Scientist","71-123 ",97,3.8,"PayPal","Texas","San Jose, CA","10000+","1998","Company - Public","Internet","Information Technology","10+ billion","Square, Amazon, Apple"
"237","Data Analyst","71-123 ",97,3.9,"Life360","San Francisco, CA","San Francisco, CA","51 to 200","2008","Company - Public","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"238","Data Scientist","71-123 ",97,3.9,"Predictive Research Inc","Plano, TX","Bangalore, India","1 to 50","Unknown","Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Unknown"
"239","Data Scientist","90-124 ",107,4.7,"Oversight Systems","Atlanta, GA","Atlanta, GA","51 to 200","2003","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million","Unknown"
"240","Data Scientist","90-124 ",107,4.8,"Acuity Insurance","Sheboygan, WI","Sheboygan, WI","1001 to 5000","1925","Company - Private","Insurance Carriers","Insurance","1 to 2 billion","Unknown"
"241","Data Engineer","90-124 ",107,3.1,"1010data","New York, NY","New York, NY","201 to 500","2000","Company - Private","Computer Hardware & Software","Information Technology","50 to 100 million","Unknown"
"242","Data Scientist","90-124 ",107,3.6,"Gigya","Palo Alto, CA","Mountain View, CA","201 to 500","2006","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million","Unknown"
"243","Other","90-124 ",107,5,"Genesis Research","Hoboken, NJ","Hoboken, NJ","1 to 50","2009","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Unknown"
"244","Data Scientist","90-124 ",107,3.7,"Sanofi","Cambridge, MA","Paris, France","10000+","1973","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Pfizer, GlaxoSmithKline"
"245","Data Scientist","90-124 ",107,3.7,"XPO Logistics","Lebanon, IN","Greenwich, CT","10000+","2011","Company - Public","Transportation Management","Transportation & Logistics","10+ billion","DHL Supply Chain, UPS, FedEx"
"246","Data Scientist","90-124 ",107,3.9,"Trace Data","Oakland, CA","Santa Ana, CA","51 to 200","2000","Company - Private","Insurance Carriers","Insurance","10 to 25 million","Unknown"
"247","Data Scientist","90-124 ",107,4.3,"Descript","San Francisco, CA","Houston, TX","1 to 50","Unknown","Company - Private","Unknown","Unknown","Less than 1 million","Unknown"
"248","Other","90-124 ",107,4.2,"Rincon Research Corporation","Melbourne, FL","Tucson, AZ","201 to 500","1983","Company - Private","Aerospace & Defense","Aerospace & Defense","50 to 100 million","Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory"
"249","Data Scientist","90-124 ",107,3.7,"MassMutual","Boston, MA","Springfield, MA","5001 to 10000","1851","Company - Private","Insurance Carriers","Insurance","10+ billion","Unknown"
"250","Data Scientist","90-124 ",107,4,"Better Hire","Birmingham, AL","Birmingham, AL","1 to 50","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"251","Data Scientist","90-124 ",107,3.3,"Parker Hannifin","Cleveland, OH","Cleveland, OH","10000+","1917","Company - Public","Industrial Manufacturing","Manufacturing","10+ billion","Eaton, SMC Corporation, Bosch Rexroth"
"252","Data Scientist","90-124 ",107,4.1,"Gallup","New York, NY","Washington, DC","1001 to 5000","1935","Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Advisory Board, Booz Allen Hamilton, McKinsey & Company"
"253","Data Scientist","90-124 ",107,3.3,"Insider Inc","New York, NY","New York, NY","201 to 500","2007","Company - Private","News Outlet","Media","50 to 100 million","Unknown"
"254","Data Scientist","90-124 ",107,3.9,"Rapid Value Solutions","San Francisco, CA","Pleasanton, CA","201 to 500","2009","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"255","Other","90-124 ",107,3.1,"Battelle","Norwell, MA","Columbus, OH","10000+","1929","Nonprofit Organization","Research & Development","Business Services","5 to 10 billion","Unknown"
"256","Other","90-124 ",107,4.2,"Ntrepid","Herndon, VA","Herndon, VA","201 to 500","2010","Company - Private","IT Services","Information Technology","50 to 100 million","Bromium, FireEye, Authentic8"
"257","Data Scientist","90-124 ",107,5,"The Drive Media, Inc.","New York, NY","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"258","Data Engineer","90-124 ",107,2.9,"Affinity Solutions","San Jose, CA","New York, NY","51 to 200","1998","Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee"
"259","Machine Learning Engineer","90-124 ",107,4.7,"Sage Intacct","San Francisco, CA","San Jose, CA","501 to 1000","1999","Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"260","Data Scientist","90-124 ",107,3.6,"Constant Contact","Waltham, MA","Waltham, MA","Unknown","1995","Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Drip, iContact, Mailchimp"
"261","Data Scientist","91-150 ",120.5,3.8,"MIT Lincoln Laboratory","Lexington, MA","Lexington, MA","1001 to 5000","1951","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","Unknown"
"262","Data Scientist","91-150 ",120.5,3.3,"Puget Sound Energy","Bothell, WA","Bellevue, WA","1001 to 5000","1999","Company - Private","Utilities","Oil, Gas, Energy & Utilities","2 to 5 billion","Unknown"
"263","Data Scientist","91-150 ",120.5,3.7,"Pacific Northwest National Laboratory","Richland, WA","Richland, WA","1001 to 5000","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
"264","Other","91-150 ",120.5,3.8,"Analysis Group","Boston, MA","Boston, MA","1001 to 5000","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million","Unknown"
"265","Data Scientist","91-150 ",120.5,3.2,"US Pharmacopeia","Rockville, MD","Rockville, MD","1001 to 5000","1820","Nonprofit Organization","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Unknown"
"266","Data Scientist","91-150 ",120.5,4.6,"Itlize Global","Piscataway, NJ","Piscataway, NJ","201 to 500","2010","Company - Private","IT Services","Information Technology","10 to 25 million","Unknown"
"267","Data Scientist","91-150 ",120.5,3.5,"eBay","San Jose, CA","San Jose, CA","10000+","1995","Company - Public","Internet","Information Technology","10+ billion","Amazon, Apple"
"268","Data Engineer","91-150 ",120.5,5,"Paige","New York, NY","New York, NY","1 to 50","2018","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"269","Data Engineer","91-150 ",120.5,4.1,"Shape Security","Santa Clara, CA","Mountain View, CA","51 to 200","2011","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"270","Other","91-150 ",120.5,4.1,"ABIOMED","Danvers, MA","Danvers, MA","1001 to 5000","1981","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Covidien, Boston Scientific"
"271","Data Scientist","91-150 ",120.5,3.5,"Comcast","New York, NY","Philadelphia, PA","10000+","1963","Company - Public","Unknown","Unknown","10+ billion","AT&T, Verizon"
